Area,Gender,Total_Population,Can_Read_Write,Can_Read_only,Can't_Read_Write,Not_Stated
Nepal,Total,26725295,20377980,114331,6223061,9923
Nepal,M,12963026,10830886,43921,2083529,4690
Nepal,F,13762269,9547094,70410,4139532,5233
Gandaki,Total,2297497,1875910,114331,6223061,9923
Gandaki,M,1080724,959289,43921,2083529,4690
Gandaki,F,1216773,916621,70410,4139532,5233
Gorkha,Total,234195,169477,2803,61598,317
Gorkha,M,109347,88053,1052,20107,135
Gorkha,F,124848,81424,1751,41491,182
Manang,Total,5379,4215,143,1021,0
Manang,M,3055,2650,66,339,0
Manang,F,2324,1565,77,682,0
Mustang,Total,13689,10274,241,3137,37
Mustang,M,7548,6303,95,1129,21
Mustang,F,6141,3971,146,2008,16
Myagdi,Total,99025,78918,422,19531,154
Myagdi,M,47933,42041,140,5666,86
Myagdi,F,51092,36877,282,13865,68
Kaski,Total,562838,493776,3753,63972,1337
Kaski,M,272702,254723,1151,16217,611
Kaski,F,290136,239053,2602,47755,726
Lamjung,Total,146546,113561,1252,31632,101
Lamjung,M,69073,59152,476,9398,47
Lamjung,F,77473,54409,776,22234,54
Tanahu,Total,299248,244178,2048,52457,565
Tanahu,M,138447,123240,703,14263,241
Tanahu,F,160801,120938,1345,38194,324
Nawalparasi East,Total,349586,287893,2898,58262,533
Nawalparasi East,M,162631,144268,1015,17091,257
Nawalparasi East,F,186955,143625,1883,41171,276
Syangja,Total,236382,193051,1481,41615,235
Syangja,M,107838,96853,509,10365,111
Syangja,F,128544,96198,972,31250,124
Parbat,Total,121631,97452,753,23248,178
Parbat,M,56709,49986,276,6366,81
Parbat,F,64922,47466,477,16882,97
Baglung,Total,228978,183115,2458,43169,236
Baglung,M,105441,92020,849,12466,106
Baglung,F,123537,91095,1609,30703,130
